Feature_X,Positive_Correlation_Y,Negative_Correlation_Y,No_Correlation_Y,Cluster
43.708610696262625,94.39290970575033,-71.72439733332023,110.74248479681526,Cluster A
95.56428757689245,227.65885792491952,-147.2731779005995,187.18536357109676,Cluster A
75.87945476302646,193.58682601020328,-124.13744765182405,57.47873867772993,Cluster A
63.8792635777333,147.95942568127296,-104.71141699130912,143.9061790734607,Cluster B
24.041677639819287,71.23053715158123,-31.718747239445253,198.0626289990876,Cluster A
24.03950683025824,59.387564167342234,-34.74310651265995,139.76862712777844,Cluster A
15.227525095137953,38.924759777290134,-17.925422566802197,32.37930790952828,Cluster B
87.95585311974416,217.10590312328148,-129.79363578260788,125.9163829451343,Cluster B
64.1003510568888,167.97935602765924,-89.10714057385724,52.371694942622604,Cluster C
73.7265320016441,192.14792888188038,-101.80765802091621,25.49049993547677,Cluster A
11.85260448662222,32.98205473567726,-35.19607292859437,80.29292551493855,Cluster A
97.29188669457949,248.8776077955252,-154.48092654601285,67.89873494973183,Cluster A
84.91983767203796,210.17869748089063,-129.69351608295733,161.97876178683575,Cluster B
29.110519961044854,78.19832997170262,-43.89255519644069,87.26249739405809,Cluster A
26.364247048639054,62.53183986685957,-46.24727631113892,151.93258046933536,Cluster A
26.506405886809045,66.28833093864664,-30.639372120330506,22.923018550879657,Cluster B
37.381801866358394,90.708067172233,-36.27321911663161,22.66618401801039,Cluster C
57.228078846901404,138.49801172406154,-83.98049871453476,25.27642235856028,Cluster A
48.87505167779042,115.29651121725814,-72.46916719470352,59.48451952086448,Cluster B
36.21062261782377,95.20345758314829,-45.82137137569235,87.3178013051411,Cluster A
65.06676052501416,175.77296044067003,-116.2585383395556,129.41224456103382,Cluster A
22.554447458683764,68.09713836340501,-33.54698178364154,197.4644994488551,Cluster A
36.29301836816963,78.16689256096973,-44.64916929757928,83.79372206257986,Cluster B
42.97256589643225,120.32344525514937,-70.8903888166595,30.01860321628992,Cluster B
51.046298579533236,124.43416143265381,-88.8350536683195,55.08202909985276,Cluster C
80.66583652537122,207.67192146488395,-122.85681088905461,181.61333008667518,Cluster C
27.970640394252378,60.864447665158835,-42.562814923397774,145.8882542265876,Cluster B
56.28109945722505,142.12254778180267,-93.50817200499215,162.23614832694076,Cluster A
63.31731119758382,161.43050982292863,-74.01435403586622,42.35027702110267,Cluster C
14.180537144799796,20.605294942802963,-26.05776952727915,44.29765796735143,Cluster B
64.67903667112945,167.7802633412655,-108.55514852095988,40.204281358081275,Cluster B
25.347171131856236,76.82727790802375,-38.95696988849046,174.2904495757145,Cluster A
15.854643368675156,37.89012896487161,-14.703358675967822,57.794169564848794,Cluster B
95.39969835279999,252.1009271902801,-142.92540503921768,135.7673141683499,Cluster C
96.90688297671034,240.37027250725177,-140.50438526462548,112.90994591298663,Cluster B
82.7557613304815,215.38524863666993,-132.84874793905382,117.99018413729365,Cluster B
37.41523922560336,71.3523984044974,-41.2459743743699,55.17836451042828,Cluster B
18.79049026057455,71.16400344457102,-22.56862511167739,134.3442968217181,Cluster B
71.58097238609412,193.90701341766487,-96.89444289036508,27.758096202499612,Cluster C
49.61372443656412,121.18805604887352,-70.76898033009448,198.82500972637317,Cluster B
20.983441136030095,32.737712573637054,-23.2263213267573,24.81660316869123,Cluster C
54.56592191001432,139.2950884580907,-90.57940846179375,29.028177328855193,Cluster C
13.094966900369656,18.298161780186568,-24.55655451745011,78.43653558050264,Cluster B
91.83883618709038,234.04562584330083,-124.29344832507529,169.6925640385169,Cluster A
33.290198344001524,87.34115305164663,-34.33787804316265,66.29405811981373,Cluster A
69.62700559185838,164.6534822896257,-115.91116438497832,104.94830248243908,Cluster C
38.053996848046985,106.34466235626124,-54.58363459343236,23.235919611714728,Cluster A
56.80612190600297,150.0710517930692,-89.51862086385673,34.19827696705596,Cluster A
59.203925140895166,157.76804622512356,-95.77620240499137,129.43388873732727,Cluster B
26.636900997297435,66.68082952993255,-37.106954542391655,54.984524500897145,Cluster A
97.26261649881027,229.00130057788863,-134.4842954245613,144.96582134351456,Cluster B
79.76195410250031,209.18360797836218,-115.12630642090853,161.37041150309187,Cluster B
94.55490474077702,233.68354786058464,-145.02748161035586,173.060155905011,Cluster A
90.5344615384884,212.43835241429431,-130.65308050838098,44.08388083987808,Cluster B
63.810998092997664,173.04788889223744,-99.31625887530551,101.99153882574649,Cluster B
92.96868115208052,253.4157780852264,-135.33187872081476,190.47466098269223,Cluster B
17.964325184672756,44.49833167188986,-12.981830772451799,158.9750376399754,Cluster A
27.638457617723066,90.68735559034059,-62.22928301959288,41.0528687323067,Cluster C
14.070456001948425,36.089287290984565,-13.133161017522301,110.45004410331097,Cluster B
39.27972976869379,94.39476538007096,-74.31014386874537,186.028504730991,Cluster A
44.98095607205338,106.14780563827867,-55.188157002635464,99.20698499417345,Cluster B
34.42141285965063,102.42435622905398,-58.002375388204555,170.7351695913744,Cluster C
84.58637582367363,203.66450074530636,-139.0562775115753,109.2518698139403,Cluster B
42.10779940242303,112.62219160580746,-56.20900683274707,39.22610190423566,Cluster B
35.28410587186427,82.61862632906859,-49.2844581763723,46.613886690711325,Cluster B
58.84264748424236,142.5035510848623,-98.25584025598012,28.40163550547235,Cluster A
22.683180247728636,67.01044755901727,-46.554767943276886,55.156653303601615,Cluster A
82.19772826786357,201.69395220676537,-125.17140727670818,180.85053797667814,Cluster A
16.709557931179376,37.72594103374551,-37.10520639848103,137.0356482697862,Cluster A
98.81982429404655,258.37760770686447,-158.8444661703061,152.99424827892398,Cluster B
79.50202923669917,214.72904602396417,-118.09683595083442,131.899062510799,Cluster A
27.884411338075516,76.15792637803112,-51.48533334966424,89.57707258490258,Cluster C
10.496990541124216,19.694778596571048,-11.480092911420895,59.03500390328029,Cluster C
83.39152856093507,203.3727364093619,-110.18585688256785,186.61062512176954,Cluster B
